MISSION,MISSION STATEMENT,GOAL,GOAL STATEMENT,ACTION,ACTION STATEMENT,PROGRAMME,REPORT SUMMARY,Action Formal Stakeholder,Formal Stakeholder,Action Category,Report Category
MISSION 3,"Food which is Safe,  Nutritious and  Appealing, Trusted  and Valued at Home  and Abroad",MISSION 3 GOAL 4,Develop Market Opportunities at Home and Abroad,MISSION 3 GOAL 4 ACTION 14,"Continue to develop linkages between  local food and tourism offerings,   including support for business  development and marketing initiatives  to support and promote food and  drink visitor attractions including the  distillery, brewery and tourism sector.",Tourism Ireland – promoting Ireland’s world-class food as part of the holiday experience on the island of Ireland,Actively involved in promoting Ireland's outdoor adventure experiences and culinary offerings through a documentary series.,Fáilte Ireland,Huckberry,Semi-State Agency,Semi-State Agency
MISSION 3,"Food which is Safe,  Nutritious and  Appealing, Trusted  and Valued at Home  and Abroad",MISSION 3 GOAL 4,Develop Market Opportunities at Home and Abroad,MISSION 3 GOAL 4 ACTION 14,"Continue to develop linkages between  local food and tourism offerings,   including support for business  development and marketing initiatives  to support and promote food and  drink visitor attractions including the  distillery, brewery and tourism sector.",Taste the Atlantic,Seafood producers are actively involved in the Taste the Atlantic programme by showcasing their products along the Wild Atlantic Way.,Fáilte Ireland,Seafood Producers,Semi-State Agency,Semi-State Agency
MISSION 3,"Food which is Safe,  Nutritious and  Appealing, Trusted  and Valued at Home  and Abroad",MISSION 3 GOAL 4,Develop Market Opportunities at Home and Abroad,MISSION 3 GOAL 4 ACTION 14,"Continue to develop linkages between  local food and tourism offerings,   including support for business  development and marketing initiatives  to support and promote food and  drink visitor attractions including the  distillery, brewery and tourism sector.",Tourism Ireland – promoting Ireland’s world-class food as part of the holiday experience on the island of Ireland,Seafood producers are actively involved in the Taste the Atlantic programme by showcasing their products along the Wild Atlantic Way.,Fáilte Ireland,Seafood Producers,Semi-State Agency,Semi-State Agency
MISSION 3,"Food which is Safe,  Nutritious and  Appealing, Trusted  and Valued at Home  and Abroad",MISSION 3 GOAL 4,Develop Market Opportunities at Home and Abroad,MISSION 3 GOAL 4 ACTION 14,"Continue to develop linkages between  local food and tourism offerings,   including support for business  development and marketing initiatives  to support and promote food and  drink visitor attractions including the  distillery, brewery and tourism sector.",Taste the Atlantic,Actively involved in showcasing and promoting local seafood and culinary experiences.,Fáilte Ireland,Local Chefs,Semi-State Agency,Semi-State Agency
MISSION 3,"Food which is Safe,  Nutritious and  Appealing, Trusted  and Valued at Home  and Abroad",MISSION 3 GOAL 4,Develop Market Opportunities at Home and Abroad,MISSION 3 GOAL 4 ACTION 14,"Continue to develop linkages between  local food and tourism offerings,   including support for business  development and marketing initiatives  to support and promote food and  drink visitor attractions including the  distillery, brewery and tourism sector.",Tourism Ireland – promoting Ireland’s world-class food as part of the holiday experience on the island of Ireland,Actively involved in showcasing and promoting local seafood and culinary experiences.,Fáilte Ireland,Local Chefs,Semi-State Agency,Semi-State Agency
MISSION 3,"Food which is Safe,  Nutritious and  Appealing, Trusted  and Valued at Home  and Abroad",MISSION 3 GOAL 4,Develop Market Opportunities at Home and Abroad,MISSION 3 GOAL 4 ACTION 14,"Continue to develop linkages between  local food and tourism offerings,   including support for business  development and marketing initiatives  to support and promote food and  drink visitor attractions including the  distillery, brewery and tourism sector.",Taste the Atlantic,Food producers are actively involved in the Taste the Atlantic programme by showcasing their seafood products along the Wild Atlantic Way.,Fáilte Ireland,Food Producers,Semi-State Agency,"Branding, Marketing And Distribution"
MISSION 3,"Food which is Safe,  Nutritious and  Appealing, Trusted  and Valued at Home  and Abroad",MISSION 3 GOAL 4,Develop Market Opportunities at Home and Abroad,MISSION 3 GOAL 4 ACTION 14,"Continue to develop linkages between  local food and tourism offerings,   including support for business  development and marketing initiatives  to support and promote food and  drink visitor attractions including the  distillery, brewery and tourism sector.",Tourism Ireland – promoting Ireland’s world-class food as part of the holiday experience on the island of Ireland,Food producers are actively involved in the Taste the Atlantic programme by showcasing their seafood products along the Wild Atlantic Way.,Fáilte Ireland,Food Producers,Semi-State Agency,"Branding, Marketing And Distribution"
MISSION 3,"Food which is Safe,  Nutritious and  Appealing, Trusted  and Valued at Home  and Abroad",MISSION 3 GOAL 4,Develop Market Opportunities at Home and Abroad,MISSION 3 GOAL 4 ACTION 14,"Continue to develop linkages between  local food and tourism offerings,   including support for business  development and marketing initiatives  to support and promote food and  drink visitor attractions including the  distillery, brewery and tourism sector.",Taste the Atlantic,Young chefs are actively involved in the programme by showcasing local food and culinary experiences.,Fáilte Ireland,Young Chefs,Semi-State Agency,Producers
MISSION 3,"Food which is Safe,  Nutritious and  Appealing, Trusted  and Valued at Home  and Abroad",MISSION 3 GOAL 4,Develop Market Opportunities at Home and Abroad,MISSION 3 GOAL 4 ACTION 14,"Continue to develop linkages between  local food and tourism offerings,   including support for business  development and marketing initiatives  to support and promote food and  drink visitor attractions including the  distillery, brewery and tourism sector.",Tourism Ireland – promoting Ireland’s world-class food as part of the holiday experience on the island of Ireland,Young chefs are actively involved in the programme by showcasing local food and culinary experiences.,Fáilte Ireland,Young Chefs,Semi-State Agency,Producers
MISSION 3,"Food which is Safe,  Nutritious and  Appealing, Trusted  and Valued at Home  and Abroad",MISSION 3 GOAL 4,Develop Market Opportunities at Home and Abroad,MISSION 3 GOAL 4 ACTION 14,"Continue to develop linkages between  local food and tourism offerings,   including support for business  development and marketing initiatives  to support and promote food and  drink visitor attractions including the  distillery, brewery and tourism sector.",Taste the Atlantic,Baristas are passively involved in the programme by being featured alongside local food producers in promotional content.,Fáilte Ireland,Baristas,Semi-State Agency,Sales And Retail
MISSION 3,"Food which is Safe,  Nutritious and  Appealing, Trusted  and Valued at Home  and Abroad",MISSION 3 GOAL 4,Develop Market Opportunities at Home and Abroad,MISSION 3 GOAL 4 ACTION 14,"Continue to develop linkages between  local food and tourism offerings,   including support for business  development and marketing initiatives  to support and promote food and  drink visitor attractions including the  distillery, brewery and tourism sector.",Tourism Ireland – promoting Ireland’s world-class food as part of the holiday experience on the island of Ireland,Baristas are passively involved in the programme by being featured alongside local food producers in promotional content.,Fáilte Ireland,Baristas,Semi-State Agency,Sales And Retail
MISSION 3,"Food which is Safe,  Nutritious and  Appealing, Trusted  and Valued at Home  and Abroad",MISSION 3 GOAL 4,Develop Market Opportunities at Home and Abroad,MISSION 3 GOAL 4 ACTION 14,"Continue to develop linkages between  local food and tourism offerings,   including support for business  development and marketing initiatives  to support and promote food and  drink visitor attractions including the  distillery, brewery and tourism sector.",Taste the Atlantic,Chocolatiers are actively involved in showcasing Ireland's culinary offerings as part of the tourism promotion programme.,Fáilte Ireland,Chocolatiers,Semi-State Agency,Producers
MISSION 3,"Food which is Safe,  Nutritious and  Appealing, Trusted  and Valued at Home  and Abroad",MISSION 3 GOAL 4,Develop Market Opportunities at Home and Abroad,MISSION 3 GOAL 4 ACTION 14,"Continue to develop linkages between  local food and tourism offerings,   including support for business  development and marketing initiatives  to support and promote food and  drink visitor attractions including the  distillery, brewery and tourism sector.",Tourism Ireland – promoting Ireland’s world-class food as part of the holiday experience on the island of Ireland,Chocolatiers are actively involved in showcasing Ireland's culinary offerings as part of the tourism promotion programme.,Fáilte Ireland,Chocolatiers,Semi-State Agency,Producers
MISSION 3,"Food which is Safe,  Nutritious and  Appealing, Trusted  and Valued at Home  and Abroad",MISSION 3 GOAL 4,Develop Market Opportunities at Home and Abroad,MISSION 3 GOAL 4 ACTION 14,"Continue to develop linkages between  local food and tourism offerings,   including support for business  development and marketing initiatives  to support and promote food and  drink visitor attractions including the  distillery, brewery and tourism sector.",Taste the Atlantic,No relevant context found.,Fáilte Ireland,Food Trucks,Semi-State Agency,Sales And Retail
MISSION 3,"Food which is Safe,  Nutritious and  Appealing, Trusted  and Valued at Home  and Abroad",MISSION 3 GOAL 4,Develop Market Opportunities at Home and Abroad,MISSION 3 GOAL 4 ACTION 14,"Continue to develop linkages between  local food and tourism offerings,   including support for business  development and marketing initiatives  to support and promote food and  drink visitor attractions including the  distillery, brewery and tourism sector.",Tourism Ireland – promoting Ireland’s world-class food as part of the holiday experience on the island of Ireland,No relevant context found.,Fáilte Ireland,Food Trucks,Semi-State Agency,Sales And Retail
MISSION 3,"Food which is Safe,  Nutritious and  Appealing, Trusted  and Valued at Home  and Abroad",MISSION 3 GOAL 4,Develop Market Opportunities at Home and Abroad,MISSION 3 GOAL 4 ACTION 14,"Continue to develop linkages between  local food and tourism offerings,   including support for business  development and marketing initiatives  to support and promote food and  drink visitor attractions including the  distillery, brewery and tourism sector.",Taste the Atlantic,Gastropubs are featured as part of the culinary experiences highlighted in the programme.,Fáilte Ireland,Gastro Pubs,Semi-State Agency,Sales And Retail
MISSION 3,"Food which is Safe,  Nutritious and  Appealing, Trusted  and Valued at Home  and Abroad",MISSION 3 GOAL 4,Develop Market Opportunities at Home and Abroad,MISSION 3 GOAL 4 ACTION 14,"Continue to develop linkages between  local food and tourism offerings,   including support for business  development and marketing initiatives  to support and promote food and  drink visitor attractions including the  distillery, brewery and tourism sector.",Tourism Ireland – promoting Ireland’s world-class food as part of the holiday experience on the island of Ireland,Gastropubs are featured as part of the culinary experiences highlighted in the programme.,Fáilte Ireland,Gastro Pubs,Semi-State Agency,Sales And Retail
MISSION 3,"Food which is Safe,  Nutritious and  Appealing, Trusted  and Valued at Home  and Abroad",MISSION 3 GOAL 4,Develop Market Opportunities at Home and Abroad,MISSION 3 GOAL 4 ACTION 14,"Continue to develop linkages between  local food and tourism offerings,   including support for business  development and marketing initiatives  to support and promote food and  drink visitor attractions including the  distillery, brewery and tourism sector.",Taste the Atlantic,No relevant context found.,Fáilte Ireland,Restaurants,Semi-State Agency,"Branding, Marketing And Distribution"
MISSION 3,"Food which is Safe,  Nutritious and  Appealing, Trusted  and Valued at Home  and Abroad",MISSION 3 GOAL 4,Develop Market Opportunities at Home and Abroad,MISSION 3 GOAL 4 ACTION 14,"Continue to develop linkages between  local food and tourism offerings,   including support for business  development and marketing initiatives  to support and promote food and  drink visitor attractions including the  distillery, brewery and tourism sector.",Tourism Ireland – promoting Ireland’s world-class food as part of the holiday experience on the island of Ireland,No relevant context found.,Fáilte Ireland,Restaurants,Semi-State Agency,"Branding, Marketing And Distribution"
MISSION 3,"Food which is Safe,  Nutritious and  Appealing, Trusted  and Valued at Home  and Abroad",MISSION 3 GOAL 4,Develop Market Opportunities at Home and Abroad,MISSION 3 GOAL 4 ACTION 14,"Continue to develop linkages between  local food and tourism offerings,   including support for business  development and marketing initiatives  to support and promote food and  drink visitor attractions including the  distillery, brewery and tourism sector.",Taste the Atlantic,Fáilte Ireland is actively involved in implementing the Taste the Atlantic programme to promote seafood producers along the Wild Atlantic Way.,Seafood Producers,Fáilte Ireland,Semi-State Agency,Sales And Retail
MISSION 3,"Food which is Safe,  Nutritious and  Appealing, Trusted  and Valued at Home  and Abroad",MISSION 3 GOAL 4,Develop Market Opportunities at Home and Abroad,MISSION 3 GOAL 4 ACTION 14,"Continue to develop linkages between  local food and tourism offerings,   including support for business  development and marketing initiatives  to support and promote food and  drink visitor attractions including the  distillery, brewery and tourism sector.",Tourism Ireland – promoting Ireland’s world-class food as part of the holiday experience on the island of Ireland,Fáilte Ireland is actively involved in implementing the Taste the Atlantic programme to promote seafood producers along the Wild Atlantic Way.,Seafood Producers,Fáilte Ireland,Producers,Sales And Retail
MISSION 3,"Food which is Safe,  Nutritious and  Appealing, Trusted  and Valued at Home  and Abroad",MISSION 3 GOAL 4,Develop Market Opportunities at Home and Abroad,MISSION 3 GOAL 4 ACTION 14,"Continue to develop linkages between  local food and tourism offerings,   including support for business  development and marketing initiatives  to support and promote food and  drink visitor attractions including the  distillery, brewery and tourism sector.",Taste the Atlantic,Tourism Ireland is actively involved in promoting Ireland’s world-class food as part of the holiday experience.,Seafood Producers,Tourism Ireland,Producers,Sales And Retail
MISSION 3,"Food which is Safe,  Nutritious and  Appealing, Trusted  and Valued at Home  and Abroad",MISSION 3 GOAL 4,Develop Market Opportunities at Home and Abroad,MISSION 3 GOAL 4 ACTION 14,"Continue to develop linkages between  local food and tourism offerings,   including support for business  development and marketing initiatives  to support and promote food and  drink visitor attractions including the  distillery, brewery and tourism sector.",Tourism Ireland – promoting Ireland’s world-class food as part of the holiday experience on the island of Ireland,Tourism Ireland is actively involved in promoting Ireland’s world-class food as part of the holiday experience.,Seafood Producers,Tourism Ireland,Producers,Sales And Retail
MISSION 3,"Food which is Safe,  Nutritious and  Appealing, Trusted  and Valued at Home  and Abroad",MISSION 3 GOAL 4,Develop Market Opportunities at Home and Abroad,MISSION 3 GOAL 4 ACTION 14,"Continue to develop linkages between  local food and tourism offerings,   including support for business  development and marketing initiatives  to support and promote food and  drink visitor attractions including the  distillery, brewery and tourism sector.",Taste the Atlantic,Seafood producers are actively involved in promoting their products along the Wild Atlantic Way as part of the Taste the Atlantic programme.,Seafood Producers,Seafood Producers,Producers,Semi-State Agency
MISSION 3,"Food which is Safe,  Nutritious and  Appealing, Trusted  and Valued at Home  and Abroad",MISSION 3 GOAL 4,Develop Market Opportunities at Home and Abroad,MISSION 3 GOAL 4 ACTION 14,"Continue to develop linkages between  local food and tourism offerings,   including support for business  development and marketing initiatives  to support and promote food and  drink visitor attractions including the  distillery, brewery and tourism sector.",Tourism Ireland – promoting Ireland’s world-class food as part of the holiday experience on the island of Ireland,Seafood producers are actively involved in promoting their products along the Wild Atlantic Way as part of the Taste the Atlantic programme.,Seafood Producers,Seafood Producers,Producers,Semi-State Agency
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 2,"A Strategic Funding Approach for Research, Development and Innovation",MISSION 4 GOAL 2 ACTION 1,Maintain publicly-funded research in  agri-food at an appropriate funding  level.,Agricultural Innovation Mission for Climate (AIM4C) Summit,Actively involved in promoting climate-smart agriculture and food systems innovation through initiatives and funding commitments.,Farmers,Agricultural Innovation Mission For Climate,Producers,Semi-State Agency
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 2,"A Strategic Funding Approach for Research, Development and Innovation",MISSION 4 GOAL 2 ACTION 1,Maintain publicly-funded research in  agri-food at an appropriate funding  level.,National ‘Agriculture and Climate Change: Science in Action’ Conference,Actively involved in promoting climate-smart agriculture and food systems innovation through initiatives and funding commitments.,Farmers,Agricultural Innovation Mission For Climate,Producers,Semi-State Agency
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 2,"A Strategic Funding Approach for Research, Development and Innovation",MISSION 4 GOAL 2 ACTION 1,Maintain publicly-funded research in  agri-food at an appropriate funding  level.,Ireland – New Zealand Joint Research Initiative,Actively involved in promoting climate-smart agriculture and food systems innovation through initiatives and funding commitments.,Farmers,Agricultural Innovation Mission For Climate,Producers,Semi-State Agency
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 2,"A Strategic Funding Approach for Research, Development and Innovation",MISSION 4 GOAL 2 ACTION 1,Maintain publicly-funded research in  agri-food at an appropriate funding  level.,Agricultural Innovation Mission for Climate (AIM4C) Summit,Actively involved in the Agricultural Innovation Mission for Climate (AIM4C) as a joint initiative partner.,Farmers,United States Agency For International Development,Producers,Semi-State Agency
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 2,"A Strategic Funding Approach for Research, Development and Innovation",MISSION 4 GOAL 2 ACTION 1,Maintain publicly-funded research in  agri-food at an appropriate funding  level.,National ‘Agriculture and Climate Change: Science in Action’ Conference,Actively involved in the Agricultural Innovation Mission for Climate (AIM4C) as a joint initiative partner.,Farmers,United States Agency For International Development,Producers,Producers
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 2,"A Strategic Funding Approach for Research, Development and Innovation",MISSION 4 GOAL 2 ACTION 1,Maintain publicly-funded research in  agri-food at an appropriate funding  level.,Ireland – New Zealand Joint Research Initiative,Actively involved in the Agricultural Innovation Mission for Climate (AIM4C) as a joint initiative partner.,Farmers,United States Agency For International Development,Producers,Producers
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 2,"A Strategic Funding Approach for Research, Development and Innovation",MISSION 4 GOAL 2 ACTION 1,Maintain publicly-funded research in  agri-food at an appropriate funding  level.,Agricultural Innovation Mission for Climate (AIM4C) Summit,Actively involved as a joint initiative partner in the Agricultural Innovation Mission for Climate (AIM4C).,Farmers,United Arab Emirates,Producers,Research And Regulatory
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 2,"A Strategic Funding Approach for Research, Development and Innovation",MISSION 4 GOAL 2 ACTION 1,Maintain publicly-funded research in  agri-food at an appropriate funding  level.,National ‘Agriculture and Climate Change: Science in Action’ Conference,Actively involved as a joint initiative partner in the Agricultural Innovation Mission for Climate (AIM4C).,Farmers,United Arab Emirates,Producers,Research And Regulatory
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 2,"A Strategic Funding Approach for Research, Development and Innovation",MISSION 4 GOAL 2 ACTION 1,Maintain publicly-funded research in  agri-food at an appropriate funding  level.,Ireland – New Zealand Joint Research Initiative,Actively involved as a joint initiative partner in the Agricultural Innovation Mission for Climate (AIM4C).,Farmers,United Arab Emirates,Producers,Research And Regulatory
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 2,"A Strategic Funding Approach for Research, Development and Innovation",MISSION 4 GOAL 2 ACTION 1,Maintain publicly-funded research in  agri-food at an appropriate funding  level.,Agricultural Innovation Mission for Climate (AIM4C) Summit,Sustainable Food Systems Ireland is actively involved in supporting food technology and quality standards through partnerships in climate resilience initiatives.,Farmers,Sustainable Food Systems Ireland,Producers,International Organisation
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 2,"A Strategic Funding Approach for Research, Development and Innovation",MISSION 4 GOAL 2 ACTION 1,Maintain publicly-funded research in  agri-food at an appropriate funding  level.,National ‘Agriculture and Climate Change: Science in Action’ Conference,Sustainable Food Systems Ireland is actively involved in supporting food technology and quality standards through partnerships in climate resilience initiatives.,Farmers,Sustainable Food Systems Ireland,Producers,International Organisation
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 2,"A Strategic Funding Approach for Research, Development and Innovation",MISSION 4 GOAL 2 ACTION 1,Maintain publicly-funded research in  agri-food at an appropriate funding  level.,Ireland – New Zealand Joint Research Initiative,Sustainable Food Systems Ireland is actively involved in supporting food technology and quality standards through partnerships in climate resilience initiatives.,Farmers,Sustainable Food Systems Ireland,Producers,International Organisation
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 2,"A Strategic Funding Approach for Research, Development and Innovation",MISSION 4 GOAL 2 ACTION 1,Maintain publicly-funded research in  agri-food at an appropriate funding  level.,Agricultural Innovation Mission for Climate (AIM4C) Summit,Actively involved in funding and supporting research initiatives aimed at reducing greenhouse gas emissions.,Farmers,New Zealand’S Ministry For Primary Industries,Producers,International Organisation
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 2,"A Strategic Funding Approach for Research, Development and Innovation",MISSION 4 GOAL 2 ACTION 1,Maintain publicly-funded research in  agri-food at an appropriate funding  level.,National ‘Agriculture and Climate Change: Science in Action’ Conference,Actively involved in funding and supporting research initiatives aimed at reducing greenhouse gas emissions.,Farmers,New Zealand’S Ministry For Primary Industries,Producers,International Organisation
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 2,"A Strategic Funding Approach for Research, Development and Innovation",MISSION 4 GOAL 2 ACTION 1,Maintain publicly-funded research in  agri-food at an appropriate funding  level.,Ireland – New Zealand Joint Research Initiative,Actively involved in funding and supporting research initiatives aimed at reducing greenhouse gas emissions.,Farmers,New Zealand’S Ministry For Primary Industries,Producers,International Organisation
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 2,"A Strategic Funding Approach for Research, Development and Innovation",MISSION 4 GOAL 2 ACTION 1,Maintain publicly-funded research in  agri-food at an appropriate funding  level.,Agricultural Innovation Mission for Climate (AIM4C) Summit,Teagasc is actively involved in climate and agriculture research projects under the Ireland – New Zealand Joint Research Initiative.,Farmers,Teagasc The Agriculture And Food Development Authority,Producers,Research And Regulatory
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 2,"A Strategic Funding Approach for Research, Development and Innovation",MISSION 4 GOAL 2 ACTION 1,Maintain publicly-funded research in  agri-food at an appropriate funding  level.,National ‘Agriculture and Climate Change: Science in Action’ Conference,Teagasc is actively involved in climate and agriculture research projects under the Ireland – New Zealand Joint Research Initiative.,Farmers,Teagasc The Agriculture And Food Development Authority,Producers,Research And Regulatory
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 2,"A Strategic Funding Approach for Research, Development and Innovation",MISSION 4 GOAL 2 ACTION 1,Maintain publicly-funded research in  agri-food at an appropriate funding  level.,Ireland – New Zealand Joint Research Initiative,Teagasc is actively involved in climate and agriculture research projects under the Ireland – New Zealand Joint Research Initiative.,Farmers,Teagasc The Agriculture And Food Development Authority,Producers,Research And Regulatory
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 2,"A Strategic Funding Approach for Research, Development and Innovation",MISSION 4 GOAL 2 ACTION 1,Maintain publicly-funded research in  agri-food at an appropriate funding  level.,Agricultural Innovation Mission for Climate (AIM4C) Summit,University College Cork is actively involved in climate and agriculture research projects funded under the Ireland – New Zealand Joint Research Initiative.,Farmers,University College Cork,Producers,International Organisation
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 2,"A Strategic Funding Approach for Research, Development and Innovation",MISSION 4 GOAL 2 ACTION 1,Maintain publicly-funded research in  agri-food at an appropriate funding  level.,National ‘Agriculture and Climate Change: Science in Action’ Conference,University College Cork is actively involved in climate and agriculture research projects funded under the Ireland – New Zealand Joint Research Initiative.,Farmers,University College Cork,Producers,International Organisation
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 2,"A Strategic Funding Approach for Research, Development and Innovation",MISSION 4 GOAL 2 ACTION 1,Maintain publicly-funded research in  agri-food at an appropriate funding  level.,Ireland – New Zealand Joint Research Initiative,University College Cork is actively involved in climate and agriculture research projects funded under the Ireland – New Zealand Joint Research Initiative.,Farmers,University College Cork,Producers,International Organisation
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 2,"A Strategic Funding Approach for Research, Development and Innovation",MISSION 4 GOAL 2 ACTION 1,Maintain publicly-funded research in  agri-food at an appropriate funding  level.,Agricultural Innovation Mission for Climate (AIM4C) Summit,Actively involved in climate and agriculture research projects under the Ireland – New Zealand Joint Research Initiative.,Farmers,University College Dublin,Producers,Semi-State Agency
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 2,"A Strategic Funding Approach for Research, Development and Innovation",MISSION 4 GOAL 2 ACTION 1,Maintain publicly-funded research in  agri-food at an appropriate funding  level.,National ‘Agriculture and Climate Change: Science in Action’ Conference,Actively involved in climate and agriculture research projects under the Ireland – New Zealand Joint Research Initiative.,Farmers,University College Dublin,Producers,Semi-State Agency
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 2,"A Strategic Funding Approach for Research, Development and Innovation",MISSION 4 GOAL 2 ACTION 1,Maintain publicly-funded research in  agri-food at an appropriate funding  level.,Ireland – New Zealand Joint Research Initiative,Actively involved in climate and agriculture research projects under the Ireland – New Zealand Joint Research Initiative.,Farmers,University College Dublin,Producers,Semi-State Agency
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 2,"A Strategic Funding Approach for Research, Development and Innovation",MISSION 4 GOAL 2 ACTION 1,Maintain publicly-funded research in  agri-food at an appropriate funding  level.,Agricultural Innovation Mission for Climate (AIM4C) Summit,Trinity College Dublin is actively involved in climate and agriculture research projects funded under the Ireland – New Zealand Joint Research Initiative.,Farmers,Trinity College Dublin,Producers,Research And Regulatory
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 2,"A Strategic Funding Approach for Research, Development and Innovation",MISSION 4 GOAL 2 ACTION 1,Maintain publicly-funded research in  agri-food at an appropriate funding  level.,National ‘Agriculture and Climate Change: Science in Action’ Conference,Trinity College Dublin is actively involved in climate and agriculture research projects funded under the Ireland – New Zealand Joint Research Initiative.,Farmers,Trinity College Dublin,Producers,Research And Regulatory
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 2,"A Strategic Funding Approach for Research, Development and Innovation",MISSION 4 GOAL 2 ACTION 1,Maintain publicly-funded research in  agri-food at an appropriate funding  level.,Ireland – New Zealand Joint Research Initiative,Trinity College Dublin is actively involved in climate and agriculture research projects funded under the Ireland – New Zealand Joint Research Initiative.,Farmers,Trinity College Dublin,Producers,Research And Regulatory
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 2,"A Strategic Funding Approach for Research, Development and Innovation",MISSION 4 GOAL 2 ACTION 1,Maintain publicly-funded research in  agri-food at an appropriate funding  level.,Agricultural Innovation Mission for Climate (AIM4C) Summit,Dublin City University is actively involved in climate and agriculture research projects funded under the Ireland – New Zealand Joint Research Initiative.,Farmers,Dublin City University,Producers,Research And Regulatory
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 2,"A Strategic Funding Approach for Research, Development and Innovation",MISSION 4 GOAL 2 ACTION 1,Maintain publicly-funded research in  agri-food at an appropriate funding  level.,National ‘Agriculture and Climate Change: Science in Action’ Conference,Dublin City University is actively involved in climate and agriculture research projects funded under the Ireland – New Zealand Joint Research Initiative.,Farmers,Dublin City University,Producers,Research And Regulatory
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 2,"A Strategic Funding Approach for Research, Development and Innovation",MISSION 4 GOAL 2 ACTION 1,Maintain publicly-funded research in  agri-food at an appropriate funding  level.,Ireland – New Zealand Joint Research Initiative,Dublin City University is actively involved in climate and agriculture research projects funded under the Ireland – New Zealand Joint Research Initiative.,Farmers,Dublin City University,Producers,Research And Regulatory
