MISSION,MISSION STATEMENT,GOAL,GOAL STATEMENT,ACTION,ACTION STATEMENT,Formal Stakeholder,Category
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 3,Develop a Dynamic Knowledge Exchange Environment,MISSION 4 GOAL 3 ACTION 4,"Develop, test and share knowledge and  experiences through for example focus  groups, living labs, incubators, and  other co-operative activities.",Farmers,Producers
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 3,Develop a Dynamic Knowledge Exchange Environment,MISSION 4 GOAL 3 ACTION 4,"Develop, test and share knowledge and  experiences through for example focus  groups, living labs, incubators, and  other co-operative activities.",Primary Producers,Small Producers
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 4,Enhance the Use of Technology and Data,MISSION 4 GOAL 4 ACTION 1,Develop the digital transition of the  agri-food sector  in line with policies  such as the CAP Strategic Plan process  and the National Digital Strategy.,Primary Producers,Small Producers
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 4,Enhance the Use of Technology and Data,MISSION 4 GOAL 4 ACTION 1,Develop the digital transition of the  agri-food sector  in line with policies  such as the CAP Strategic Plan process  and the National Digital Strategy.,Processors,Processors
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 4,Enhance the Use of Technology and Data,MISSION 4 GOAL 4 ACTION 1,Develop the digital transition of the  agri-food sector  in line with policies  such as the CAP Strategic Plan process  and the National Digital Strategy.,Consumers,Civil Society
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 4,Enhance the Use of Technology and Data,MISSION 4 GOAL 4 ACTION 1,Develop the digital transition of the  agri-food sector  in line with policies  such as the CAP Strategic Plan process  and the National Digital Strategy.,Academia And Research Organisations,Research And Regulatory
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 4,Enhance the Use of Technology and Data,MISSION 4 GOAL 4 ACTION 4,Undertake research and increase  engagement with initiatives to address  the socio-economic impact of agri- digitalisation with a particular focus on  data governance issues.,Copa-Cogeca,Trade Association
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 4,Enhance the Use of Technology and Data,MISSION 4 GOAL 4 ACTION 4,Undertake research and increase  engagement with initiatives to address  the socio-economic impact of agri- digitalisation with a particular focus on  data governance issues.,Agri-Discrete,Semi-State Agency
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 4,Enhance the Use of Technology and Data,MISSION 4 GOAL 4 ACTION 6,Rapid roll-out of the National  Broadband plan        (including broadband connection points and digital  hubs) will be critical to realising many of the actions  in this Strategy.,Agri-Food Businesses,Processors
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 5,Improve Competitiveness and Resilience,MISSION 4 GOAL 5 ACTION 1,"Promote the take-up of appropriate  supports for companies, particularly  SMEs, of Enterprise Ireland supports,  aimed at developing company  competitiveness, capability and resilience     (e.",Bord Bia The Irish Food Board,"Branding, Marketing And Distribution"
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 5,Improve Competitiveness and Resilience,MISSION 4 GOAL 5 ACTION 1,"Promote the take-up of appropriate  supports for companies, particularly  SMEs, of Enterprise Ireland supports,  aimed at developing company  competitiveness, capability and resilience     (e.",Science Foundation Ireland,Research And Regulatory
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 6,Attract and Nurture Diverse and Inclusive Talent,MISSION 4 GOAL 6 ACTION 1,"Employers in the agri-food industry will  develop an education, skills and talent  attraction and retention strategy.",Further Education Sector,Research And Regulatory
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 6,Attract and Nurture Diverse and Inclusive Talent,MISSION 4 GOAL 6 ACTION 1,"Employers in the agri-food industry will  develop an education, skills and talent  attraction and retention strategy.",Enterprise Ireland,"Department Of Business, Employment And Retail"
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 6,Attract and Nurture Diverse and Inclusive Talent,MISSION 4 GOAL 6 ACTION 1,"Employers in the agri-food industry will  develop an education, skills and talent  attraction and retention strategy.",Teagasc The Agriculture And Food Development Authority,Semi-State Agency
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 6,Attract and Nurture Diverse and Inclusive Talent,MISSION 4 GOAL 6 ACTION 1,"Employers in the agri-food industry will  develop an education, skills and talent  attraction and retention strategy.",An Tseirbhís Oideachais Leanúnaigh Agus Scileanna,Research And Regulatory
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 6,Attract and Nurture Diverse and Inclusive Talent,MISSION 4 GOAL 6 ACTION 1,"Employers in the agri-food industry will  develop an education, skills and talent  attraction and retention strategy.",Skillnet Ireland,Research And Regulatory
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 6,Attract and Nurture Diverse and Inclusive Talent,MISSION 4 GOAL 6 ACTION 1,"Employers in the agri-food industry will  develop an education, skills and talent  attraction and retention strategy.",Diversity And Inclusion Master Classes,Research And Regulatory
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 6,Attract and Nurture Diverse and Inclusive Talent,MISSION 4 GOAL 6 ACTION 1,"Employers in the agri-food industry will  develop an education, skills and talent  attraction and retention strategy.",Bord Bia The Irish Food Board,"Branding, Marketing And Distribution"
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 6,Attract and Nurture Diverse and Inclusive Talent,MISSION 4 GOAL 6 ACTION 1,"Employers in the agri-food industry will  develop an education, skills and talent  attraction and retention strategy.",Expert Group On Future Skills Needs,Research And Regulatory
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 6,Attract and Nurture Diverse and Inclusive Talent,MISSION 4 GOAL 6 ACTION 1,"Employers in the agri-food industry will  develop an education, skills and talent  attraction and retention strategy.",Agri-Food Education,Research And Regulatory
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 6,Attract and Nurture Diverse and Inclusive Talent,MISSION 4 GOAL 6 ACTION 1,"Employers in the agri-food industry will  develop an education, skills and talent  attraction and retention strategy.",Public Sector,State Agencies And Local Authorities
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 6,Attract and Nurture Diverse and Inclusive Talent,MISSION 4 GOAL 6 ACTION 1,"Employers in the agri-food industry will  develop an education, skills and talent  attraction and retention strategy.","Department Of Agriculture, Food And The Marine","Department Of Agriculture, Food And The Marine"
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 6,Attract and Nurture Diverse and Inclusive Talent,MISSION 4 GOAL 6 ACTION 3,"Education and training programmes  (note, education and training of  primary producers is also addressed  in Goal 4, Mission 2), including new  apprenticeships, will be kept under  review to ensure they respond to needs  such as in the areas of environmental  sustainability        (e.",Teagasc The Agriculture And Food Development Authority,Semi-State Agency
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 6,Attract and Nurture Diverse and Inclusive Talent,MISSION 4 GOAL 6 ACTION 3,"Education and training programmes  (note, education and training of  primary producers is also addressed  in Goal 4, Mission 2), including new  apprenticeships, will be kept under  review to ensure they respond to needs  such as in the areas of environmental  sustainability        (e.",Bord Iascaigh Mhara,Semi-State Agency
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 6,Attract and Nurture Diverse and Inclusive Talent,MISSION 4 GOAL 6 ACTION 4,"Promote and improve gender balance  at all levels, but particularly at senior  management and board level       (note, gender balance at primary production level  is addressed in Goal 4, Mission 2).","Agricultural, Financial & Environmental Consultants",Research And Regulatory
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 6,Attract and Nurture Diverse and Inclusive Talent,MISSION 4 GOAL 6 ACTION 4,"Promote and improve gender balance  at all levels, but particularly at senior  management and board level       (note, gender balance at primary production level  is addressed in Goal 4, Mission 2).",Acorns Programme,"Department Of Agriculture, Food And The Marine"
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 6,Attract and Nurture Diverse and Inclusive Talent,MISSION 4 GOAL 6 ACTION 4,"Promote and improve gender balance  at all levels, but particularly at senior  management and board level       (note, gender balance at primary production level  is addressed in Goal 4, Mission 2).",University College Cork,Research And Regulatory
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 6,Attract and Nurture Diverse and Inclusive Talent,MISSION 4 GOAL 6 ACTION 4,"Promote and improve gender balance  at all levels, but particularly at senior  management and board level       (note, gender balance at primary production level  is addressed in Goal 4, Mission 2).",Taste4Success Skillnet,Research And Regulatory
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 6,Attract and Nurture Diverse and Inclusive Talent,MISSION 4 GOAL 6 ACTION 5,"Promote and develop initiatives to  improve diversity and inclusion      Diversity of people, talent, backgrounds and skills will  be critical to the future development of the sector and  all stakeholders will participate in this.",The Agri-Food Diversity & Inclusion Forum,"Branding, Marketing And Distribution"
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 6,Attract and Nurture Diverse and Inclusive Talent,MISSION 4 GOAL 6 ACTION 5,"Promote and develop initiatives to  improve diversity and inclusion      Diversity of people, talent, backgrounds and skills will  be critical to the future development of the sector and  all stakeholders will participate in this.",Bord Bia The Irish Food Board,"Branding, Marketing And Distribution"
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 6,Attract and Nurture Diverse and Inclusive Talent,MISSION 4 GOAL 6 ACTION 5,"Promote and develop initiatives to  improve diversity and inclusion      Diversity of people, talent, backgrounds and skills will  be critical to the future development of the sector and  all stakeholders will participate in this.",Aon,Telecommunications And Financial Services
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 6,Attract and Nurture Diverse and Inclusive Talent,MISSION 4 GOAL 6 ACTION 5,"Promote and develop initiatives to  improve diversity and inclusion      Diversity of people, talent, backgrounds and skills will  be critical to the future development of the sector and  all stakeholders will participate in this.",The 30% Club,"Branding, Marketing And Distribution"
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 6,Attract and Nurture Diverse and Inclusive Talent,MISSION 4 GOAL 6 ACTION 5,"Promote and develop initiatives to  improve diversity and inclusion      Diversity of people, talent, backgrounds and skills will  be critical to the future development of the sector and  all stakeholders will participate in this.",Skillnet Ireland,Research And Regulatory
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 7,Policy Coherence and Synergies in Sustainable Food Systems between Ireland’s Domestic Policy and its Development Cooperation and Foreign Policy,MISSION 4 GOAL 7 ACTION 5,Ireland will play a leadership role at the FSS in September 2021.,Rural Communities,Civil Society
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 7,Policy Coherence and Synergies in Sustainable Food Systems between Ireland’s Domestic Policy and its Development Cooperation and Foreign Policy,MISSION 4 GOAL 7 ACTION 6,Work to secure the establishment of a network of international experts to develop a composite indicator or index of sustainable food systems.,Food And Agriculture Organization Of The United Nations,International Organisation
MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 7,Policy Coherence and Synergies in Sustainable Food Systems between Ireland’s Domestic Policy and its Development Cooperation and Foreign Policy,MISSION 4 GOAL 7 ACTION 6,Work to secure the establishment of a network of international experts to develop a composite indicator or index of sustainable food systems.,Organisation For Economic Cooperation And Development,Research And Regulatory
MISSION 0,MONITORING AND IMPLEMENTATION FRAMEWORK,MISSION 0 GOAL 0,Working In Partnership,MISSION 0 GOAL 0 ACTION 3,The agri-food sector should proactively  inform the consumer agenda as well as  responding to it.,Retailers,Sales And Retail
MISSION 0,MONITORING AND IMPLEMENTATION FRAMEWORK,MISSION 0 GOAL 0,Working In Partnership,MISSION 0 GOAL 0 ACTION 3,The agri-food sector should proactively  inform the consumer agenda as well as  responding to it.,Food Service Providers,Sales And Retail
MISSION 0,MONITORING AND IMPLEMENTATION FRAMEWORK,MISSION 0 GOAL 0,Working In Partnership,MISSION 0 GOAL 0 ACTION 3,The agri-food sector should proactively  inform the consumer agenda as well as  responding to it.,Dairy Sustainability Ireland,Trade Association
MISSION 0,MONITORING AND IMPLEMENTATION FRAMEWORK,MISSION 0 GOAL 0,Working In Partnership,MISSION 0 GOAL 0 ACTION 3,The agri-food sector should proactively  inform the consumer agenda as well as  responding to it.,Agricultural Sustainability Support And Advisory Programme,Research And Regulatory
MISSION 0,MONITORING AND IMPLEMENTATION FRAMEWORK,MISSION 0 GOAL 0,Working In Partnership,MISSION 0 GOAL 0 ACTION 3,The agri-food sector should proactively  inform the consumer agenda as well as  responding to it.,Irish Farmers' Association,Trade Association
MISSION 0,MONITORING AND IMPLEMENTATION FRAMEWORK,MISSION 0 GOAL 0,Working In Partnership,MISSION 0 GOAL 0 ACTION 3,The agri-food sector should proactively  inform the consumer agenda as well as  responding to it.,Environmental Protection Agency,State Agencies 
MISSION 0,MONITORING AND IMPLEMENTATION FRAMEWORK,MISSION 0 GOAL 0,Working In Partnership,MISSION 0 GOAL 0 ACTION 3,The agri-food sector should proactively  inform the consumer agenda as well as  responding to it.,Smart Farming,Inputs
MISSION 0,MONITORING AND IMPLEMENTATION FRAMEWORK,MISSION 0 GOAL 0,Working In Partnership,MISSION 0 GOAL 0 ACTION 3,The agri-food sector should proactively  inform the consumer agenda as well as  responding to it.,Locally Led Innovation Programmes,Civil Society
MISSION 0,MONITORING AND IMPLEMENTATION FRAMEWORK,MISSION 0 GOAL 0,Working In Partnership,MISSION 0 GOAL 0 ACTION 3,The agri-food sector should proactively  inform the consumer agenda as well as  responding to it.,European Innovation Partnership,Research And Regulatory
MISSION 0,MONITORING AND IMPLEMENTATION FRAMEWORK,MISSION 0 GOAL 0,Working In Partnership,MISSION 0 GOAL 0 ACTION 3,The agri-food sector should proactively  inform the consumer agenda as well as  responding to it.,Farmers,Producers
MISSION 0,MONITORING AND IMPLEMENTATION FRAMEWORK,MISSION 0 GOAL 0,Working In Partnership,MISSION 0 GOAL 0 ACTION 6,"DAFM should lead a multi-stakeholder  project, facilitated by ‘EIT Climate  KIC’ on a “Deep Demonstration”  activity, to develop a coordinated  set of innovation actions focusing on  aiding an environment and climate-led  transition to a climate neutral agri- food sector.",Glanbia Ireland,Multinational Processors
MISSION 0,MONITORING AND IMPLEMENTATION FRAMEWORK,MISSION 0 GOAL 0,Working In Partnership,MISSION 0 GOAL 0 ACTION 6,"DAFM should lead a multi-stakeholder  project, facilitated by ‘EIT Climate  KIC’ on a “Deep Demonstration”  activity, to develop a coordinated  set of innovation actions focusing on  aiding an environment and climate-led  transition to a climate neutral agri- food sector.",Teagasc The Agriculture And Food Development Authority,Semi-State Agency
MISSION 0,MONITORING AND IMPLEMENTATION FRAMEWORK,MISSION 0 GOAL 0,Working In Partnership,MISSION 0 GOAL 0 ACTION 6,"DAFM should lead a multi-stakeholder  project, facilitated by ‘EIT Climate  KIC’ on a “Deep Demonstration”  activity, to develop a coordinated  set of innovation actions focusing on  aiding an environment and climate-led  transition to a climate neutral agri- food sector.",Eu-Funded Smart Agri Hubs,International Organisation
MISSION 0,MONITORING AND IMPLEMENTATION FRAMEWORK,MISSION 0 GOAL 0,Working In Partnership,MISSION 0 GOAL 0 ACTION 6,"DAFM should lead a multi-stakeholder  project, facilitated by ‘EIT Climate  KIC’ on a “Deep Demonstration”  activity, to develop a coordinated  set of innovation actions focusing on  aiding an environment and climate-led  transition to a climate neutral agri- food sector.",Farmers,Producers
MISSION 0,MONITORING AND IMPLEMENTATION FRAMEWORK,MISSION 0 GOAL 0,Working In Partnership,MISSION 0 GOAL 0 ACTION 6,"DAFM should lead a multi-stakeholder  project, facilitated by ‘EIT Climate  KIC’ on a “Deep Demonstration”  activity, to develop a coordinated  set of innovation actions focusing on  aiding an environment and climate-led  transition to a climate neutral agri- food sector.",Irish Creamery Milk Suppliers Association,Trade Association
MISSION 0,MONITORING AND IMPLEMENTATION FRAMEWORK,MISSION 0 GOAL 0,Working In Partnership,MISSION 0 GOAL 0 ACTION 6,"DAFM should lead a multi-stakeholder  project, facilitated by ‘EIT Climate  KIC’ on a “Deep Demonstration”  activity, to develop a coordinated  set of innovation actions focusing on  aiding an environment and climate-led  transition to a climate neutral agri- food sector.",Primary Producers,Small Producers
MISSION 0,MONITORING AND IMPLEMENTATION FRAMEWORK,MISSION 0 GOAL 0,Dialogue and Partnership,MISSION 0 GOAL 0 ACTION 7,"All stakeholders should work together  to identify leaders or ambassadors  to educate, encourage and advocate  for greater environmental and social  sustainability.",Farmers,Producers
MISSION 0,MONITORING AND IMPLEMENTATION FRAMEWORK,MISSION 0 GOAL 0,Dialogue and Partnership,MISSION 0 GOAL 0 ACTION 7,"All stakeholders should work together  to identify leaders or ambassadors  to educate, encourage and advocate  for greater environmental and social  sustainability.",Irish National Inshore Fisheries Forum,Trade Association
